Course Title,Entry Requirements,Level of Study,Modules
AI and Data Science,BBB,Undergraduate,
Business Technology,BCC,Undergraduate,
Computer Animation and Visual Effects,BBC,Undergraduate,
Computer Games Development,BBB,Undergraduate,
Computer Science,BBB,Undergraduate,
Cyber Security,BBB,Undergraduate,
Science and Engineering with a foundation year (Computing and Mathematics route),ypi,Undergraduate,
Software Engineering,BBB,Undergraduate,
Biomedical Engineering,BCC,Undergraduate,
Electrical and Electronic Engineering,BBC,Undergraduate,
Electrical and Electronic Engineering,BCC,Undergraduate,
Mechanical Engineering,BBC,Undergraduate,
Product Design Engineering,ls ,Undergraduate,
Science and Engineering degrees with a foundation year (Engineering route),DDD,Undergraduate,
